"Contr1" "Contr2" "Contr3" "Contr4" "Tox1" "Tox2" "Tox3" "Tox4"
"65" 237.906746783781 274.750616597424 315.590787288532 270.063589283928 228.961240814311 245.369910420616 181.938020097887 235.09099641932
"66" 1664.65972205372 1896.45378067324 1095.13045143003 336.494462123326 751.405532928003 456.644447119339 826.100933067083 1166.05204543938
"67" 308.598974828759 570.77190372644 362.410285234268 649.2585159205 729.16376986801 609.189758730922 670.078394794883 572.378091687761
"68" 845.865126924407 771.231396319643 593.519744573581 940.35812032935 1265.94680398302 871.583381038303 627.865059317732 977.612744086263
"69" 309.823827817033 522.748174319985 252.162295552511 160.389784850113 194.191080480276 210.519740619701 160.660973216069 226.633512195549
"70" 214.094687166409 237.614065429431 284.330678667962 211.014867686659 392.726169073846 207.45048152284 239.377695204888 232.398970268461
"71" 328.119246726443 218.40575835591 246.626565194181 254.012079239748 268.701074413521 323.700088469137 274.332607344158 286.003173274231
"72" 441.316940980188 528.975646380407 418.480802022286 330.349753898972 447.834031977801 690.035045778227 535.415247800548 463.923739237572
"73" 673.03986336847 2449.67479407145 479.151326442765 547.62052580646 916.184661461272 1221.39574010532 1929.21049244795 1842.18069557434
"74" 551.239415507625 329.595537682243 307.167521058227 312.049558681381 327.145840018178 350.153116050373 701.190722016 497.348781494707
"75" 482.328105190269 632.222438925989 824.44316607988 658.926212265935 763.080604787679 854.861153246341 488.909721200094 901.189317601936
"76" 3723.16000844901 11555.1383319542 7622.9843708 12001.3536174914 6524.77292329006 3322.09124104202 4253.40175693446 5194.49212123332
"77" 264.604735814777 264.144412144953 409.073779223015 252.252640174167 205.627119984051 319.256928073759 207.112898738457 258.50748288948
"78" 273.578566731691 288.14269117748 404.817319663027 284.626938516265 364.68244828421 369.144752608055 231.824410071936 136.784112638763
"79" 235.07988327408 277.540215911577 235.151419012209 243.225434395528 288.99377115433 251.884548522504 213.845661740936 291.710764678798
"80" 1039.62848278142 852.991624838468 485.755947930671 785.575496982312 3733.08255079159 1902.0859818677 690.761364729137 1070.12010942072
"81" 1436.44957546833 1619.12460599679 1868.95085235425 1020.91589052841 1579.33854463818 1274.42470417706 1799.07423304025 2164.07717293612
"82" 1298.79258866782 975.087384686462 735.064952856486 1013.68523161777 1272.59017416737 1282.8239514483 1386.7410395323 1101.61474630515
"83" 296.19679043196 450.930800307808 380.059882206535 301.358003849567 154.7169989551 344.762597147596 408.301309667867 347.247981791943
"84" 120.655943193486 171.969566398843 125.139357832495 178.437025809486 212.32964320112 337.33206107627 209.419678831138 287.487095513024
"85" 216.244387233455 174.523048967894 111.010702790399 165.576097998803 182.739237577142 173.053351049631 170.848719950404 165.955751426019
"86" 293.468031313345 383.608142391983 378.853811784837 267.283159499907 375.77917311322 485.836053127738 338.294644071968 489.730972745541
"87" 197.696619595529 221.997267288498 180.696285683816 185.510471356088 192.176220885129 237.248522039549 189.982310042757 174.588019677537
"88" 2489.43835310496 1751.88022617072 1582.59078409841 1646.90270065315 949.620594542772 1030.54455957851 1005.8058676858 938.02866932528
"89" 7120.80412557138 8335.0058807171 8168.54084274984 10976.8022958816 3316.11774265556 3738.81632346276 3006.34754877852 3861.83896079117
"90" 486.02829308056 536.997537299706 406.305944914666 460.117980330225 859.663606362168 808.003065976956 679.880345546528 801.909600479013
"91" 606.343392154798 1428.05665880771 650.35844173733 2463.73606576148 2958.43226307804 4292.75772299246 3288.87761019047 3481.33438776092
"92" 974.326718401524 1111.26143906985 1240.5371648147 1257.4949426764 820.05981688855 664.688119490566 790.81379768837 677.354953553465
"93" 529.053903201988 404.305941934407 604.40685313223 551.288889889119 660.919269405018 523.681479469764 547.64311396503 337.474998852847
"94" 721.076153720005 307.684000407117 303.022225650936 393.088542981359 259.845805282347 236.708107212023 314.145653587107 293.635365202207
"95" 248.75473500658 1691.38591209933 487.226597352115 551.06417447197 560.487485502316 770.825409297225 584.547249476266 715.048454214593
"96" 929.173729098063 1128.81016064406 1055.53412738764 959.006053891016 825.104023100793 976.101814958688 1067.73559927264 1360.71095200675
"97" 1664.42977372372 1474.59227527037 2490.04485918622 1619.84984571752 3933.98596805583 4434.6039128923 1946.87335143551 5451.35499240715
"98" 2636.48937029528 2451.47967924755 2389.55146419489 2244.54043426747 1636.13372123303 2494.77235443275 3554.03469250083 4555.56678875622
"99" 218.595655938251 190.345206031374 276.795958893832 244.899694192104 276.572545169564 232.145598281567 206.329685427743 252.381882879887
"100" 220.633433472571 364.333136436313 317.268204281236 300.297859997693 303.767644970444 347.592432600959 322.290240200523 152.680704067713
"101" 677.442789728247 915.876561022018 649.100261272722 919.570583859803 522.304882989675 493.781604047473 474.344074501296 533.49169349883
"102" 974.06303781566 951.766151501417 945.254985286932 945.95771083932 929.944374014636 960.643163720355 1124.72975601276 1084.63767202611
"103" 240.745395939924 332.634801195701 406.188293894933 247.362176018561 480.638378209226 424.735415306176 344.862832123566 184.989118734216
"104" 223.590780519588 276.931250470003 279.914345595272 224.347302231748 289.030772039928 327.283312838783 293.746044913552 290.456146634284
"105" 481.275771745956 491.311183145112 414.668007173755 419.937431960692 137.114045424417 401.439506247168 371.056423773245 441.688429811628
"106" 217.450463751041 262.334901221099 190.123774645707 307.197963406112 336.737192572176 306.121203026487 311.278536660171 329.491792756931
"107" 1437.7278937207 1371.65644206973 1305.12196278092 1529.11916485988 2001.29932514719 1619.55091479841 4105.8768665416 2196.84180180122
"108" 552.615491869342 374.763743263724 561.172289051085 565.629262536924 496.84668288281 648.302101257156 581.701528728008 991.587029379456
"109" 369.069122573391 458.291013622065 633.946106752873 489.1850152029 418.911366696499 491.078037840625 619.915160461166 390.283473029711
"110" 824.860078675418 738.627462131863 724.170908556785 784.749123766731 770.979759724234 692.384611848053 863.71289100358 369.409504082896
"111" 280.762153069953 230.702035578092 273.899176599697 250.644159772037 444.9064382794 360.685258301236 423.849565724846 428.35760517259
"112" 14989.9303343931 3443.42702121612 2878.34316744414 4553.99923468081 2328.51847268618 2352.41096032575 2192.95802107066 2316.83724434012
"113" 240.110342321844 240.92570844558 410.555594392968 241.995571374399 262.685290313137 246.532419712858 192.737593401814 289.781722015233
"114" 163.468239045995 472.611113049603 394.808200420548 402.169720013904 364.995891338672 479.127888631303 478.588931599612 436.537265347511
